species,feedlevel,plant.num,fv.fm.lf1,fv.fm.lf2,totmass,rt.sht,mass.lf,area.lf,sla,chlorophyll,np.ratio,nk.ratio,kp.ratio,n,p,k,ca,mg,na,s,lma,amass,pnue.n,pnue.p,num.lvs,num.phylls,mass.phy,area.phy,lma.phy,chloro.phy,amass.phy
alabamensis,0.125,1,NA,NA,3.104,2.367,0.338,38.1,112.722,437.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.714,21.079,NA,NA,5,0,NA,NA,NA,NA,NA
alabamensis,0.0156,2,NA,NA,3.771,1.59,0.261,36.9,141.379,428.716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.732,8.624,NA,NA,10,0,NA,NA,NA,NA,NA
alabamensis,0.0625,3,0.824,0.814,1.557,1.096,0.104,14.4,138.462,437.106,21.854,1.546,14.136,1.251,0.057,0.809,0.24,0.29,0.029,0.082,72.222,23.123,25.89,633.5,7,0,NA,NA,NA,NA,NA
alabamensis,0.0625,4,NA,NA,1.264,0.391,0.194,36.7,189.175,440.462,21.582,5.536,3.899,2.39,0.111,0.432,0.016,0.073,0.057,0.056,52.861,45.024,26.387,333.752,5,0,NA,NA,NA,NA,NA
alabamensis,0.03125,5,0.837,0.797,1.354,0.758,0.115,12,104.348,445.496,28.439,3.825,7.434,1.488,0.052,0.389,0.136,0.202,0.01,0.064,95.833,25.043,23.574,631.091,9,1,0.011,1.3,84.615,463.954,NA
alabamensis,0.25,6,0.843,0.821,4.085,1.419,0.324,38.6,119.136,433.75,29.215,2.273,12.853,1.119,0.038,0.492,0.12,0.157,0.003,0.044,83.938,19.419,24.308,888.927,14,0,NA,NA,NA,NA,NA
alabamensis,0.125,7,0.831,0.833,1.211,0.108,0.214,39.8,185.981,443.818,14.799,3.497,4.232,2.526,0.171,0.722,0.024,0.113,0.057,0.084,53.769,38.126,21.141,173.495,5,0,0.075,8.2,91.463,635.11,202.439
alabamensis,0.25,8,NA,NA,1.718,0.419,0.116,23.7,204.31,433.75,21.636,4.679,4.624,1.165,0.054,0.249,0.018,0.084,0.012,0.023,48.945,32.485,39.058,1015.999,6,0,NA,NA,NA,NA,NA
alabamensis,0.0156,9,0.742,0.814,3.389,2.873,0.218,29.9,137.156,435.428,17.891,2.52,7.1,1.027,0.057,0.408,0.081,0.155,0.014,0.046,72.91,15.224,20.764,506.671,3,0,NA,NA,NA,NA,NA
alabamensis,0.03125,10,NA,NA,5.681,1.572,0.339,39.8,117.404,442.14,16.051,2.719,5.902,1.06,0.066,0.39,0.055,0.162,0.021,0.044,85.176,3.874,5.12,108.589,12,0,NA,NA,NA,NA,NA
alabamensis,0,11,NA,NA,3.261,1.853,0.091,14.9,163.736,437.106,39.072,3.526,11.08,0.784,0.02,0.222,0.028,0.099,0.012,0.026,61.074,23.578,42.125,2940.571,4,0,NA,NA,NA,NA,NA
alabamensis,0,12,0.789,0.782,1.719,0.958,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA
alata,0.125,1,NA,NA,10.024,0.809,0.718,68.2,94.986,445.496,12.696,1.57,8.089,0.703,0.055,0.448,0.321,0.439,0.094,0.073,105.279,21.372,42.583,1077.204,6,0,NA,NA,NA,NA,NA
alata,0.3125,2,NA,NA,3.634,3.958,0.135,13.6,100.741,428.716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99.265,24.379,NA,NA,5,0,NA,NA,NA,NA,NA
alata,0.25,3,NA,0.822,6.617,0.471,1.313,172.3,131.226,460.598,13.636,1.852,7.361,1.039,0.076,0.561,0.112,0.237,0.034,0.055,76.204,44.748,60.326,1108.934,8,1,NA,NA,NA,NA,NA
alata,0.125,4,0.785,0.82,7.645,1.061,0.452,57.3,126.77,457.242,7.909,2.704,2.925,1.844,0.233,0.682,0.087,0.175,0.107,0.102,78.883,71.625,54.406,326.835,7,0,NA,NA,NA,NA,NA
alata,0.5,5,NA,NA,8.995,3.744,0.551,49.8,90.381,452.208,16.28,1.258,12.945,0.83,0.051,0.66,0.088,0.366,0.036,0.067,110.643,19.884,33.556,921.895,5,0,NA,NA,NA,NA,NA
alata,0.0625,6,0.808,0.782,8.697,1.464,0.601,64.8,107.82,505.904,14.259,1.31,10.884,0.727,0.051,0.555,0.111,0.334,0.042,0.096,92.747,34.287,66.06,1814.898,6,0,NA,NA,NA,NA,NA
alata,0,7,0.723,0.748,11.977,0.717,0.636,71.3,112.107,437.106,12.536,2.104,5.958,0.815,0.065,0.387,0.096,0.189,0.04,0.068,89.201,32.175,55.297,1191.331,11,0,NA,NA,NA,NA,NA
alata,0,8,NA,NA,10.644,2.522,0.662,78.3,118.278,437.106,13.582,0.982,13.825,0.559,0.041,0.569,0.099,0.261,0.055,0.074,84.547,19.634,49.198,1674.307,7,0,NA,NA,NA,NA,NA
alata,0.25,9,NA,NA,7.188,1.33,0.417,39.3,94.245,443.818,13.291,1.214,10.945,0.816,0.061,0.672,0.067,0.284,0.015,0.087,106.107,31.195,53.548,1221.697,5,0,NA,NA,NA,NA,NA
alata,0.5,10,0.827,0.839,9.637,1.619,0.942,78.9,83.758,527.718,15.077,1.326,11.374,0.925,0.061,0.698,0.124,0.388,0.043,0.109,119.392,31.828,48.196,1100.324,5,0,NA,NA,NA,NA,NA
alata,0.0625,11,NA,NA,11.86,0.49,1.204,136.3,113.206,463.954,16.551,1.751,9.453,0.924,0.056,0.528,0.092,0.343,0.06,0.085,88.335,29.32,44.447,1115.197,11,0,NA,NA,NA,NA,NA
alata,0.3125,12,0.84,0.835,7.284,0.93,0.782,69.7,89.13,448.852,17.594,1.307,13.462,0.782,0.044,0.598,0.172,0.378,0.075,0.087,112.195,32.533,58.272,1836.339,6,0,NA,NA,NA,NA,NA
flava,0.625,1,NA,NA,12.897,0.606,0.957,84.5,88.297,435.428,14.473,0.965,14.997,0.58,0.04,0.601,0.068,0.214,0.142,0.053,113.254,23.575,56.934,1990.045,8,2,NA,NA,NA,NA,NA
flava,0,2,NA,NA,9.831,0.041,1.337,94.7,70.83,450.53,15.22,0.875,17.388,0.459,0.03,0.524,0.081,0.145,0.198,0.049,141.183,23.445,71.545,3322.996,7,3,0.394,30.9,127.508,839.826,281.553
flava,1,3,0.827,0.831,19.476,0.679,1.36,103.9,76.397,NA,15.106,0.822,18.37,0.588,0.039,0.715,0.175,0.379,0.169,0.094,130.895,33.08,78.801,2835.659,8,1,0.259,17.9,144.693,487.446,477.095
flava,0.125,4,NA,NA,15.833,0.678,1.517,120.3,79.301,425.36,16.78,0.796,21.08,0.448,0.027,0.563,0.092,0.273,0.121,0.055,126.101,20.301,63.473,3330.046,13,8,0.381,40.1,95.012,754.248,230.673
flava,1,5,NA,NA,5.003,0.123,1.37,104.9,76.569,437.106,9.679,1.014,9.543,0.695,0.072,0.685,0.054,0.209,0.145,0.062,108.389,42.993,86.649,1690.223,7,2,1.005,14.1,712.766,531.074,185.106
flava,0.125,6,0.832,0.813,12.469,1.063,0.991,87.7,88.496,452.208,11.374,0.977,11.637,0.536,0.047,0.548,0.2,0.362,0.178,0.074,112.999,33.363,87.186,2591.407,9,4,0.542,41.3,131.235,693.84,212.833
flava,0.5,7,NA,0.842,7.098,0.692,0.756,95.3,126.058,490.802,11.879,1.07,11.101,1.096,0.092,1.024,0.103,0.395,0.28,0.107,79.328,49.037,62.669,951.394,6,1,0.383,37.9,101.055,608.262,195.515
flava,0.5,8,NA,NA,14.189,0.584,1.676,124.9,74.523,457.242,13.905,1.046,13.298,0.627,0.045,0.6,0.097,0.349,0.123,0.071,134.187,24.443,54.606,1696.211,10,5,0.563,59.1,95.262,574.702,121.997
flava,0.625,9,NA,NA,12.949,0.81,1.427,127.4,89.278,479.056,7.861,1.281,6.138,0.584,0.074,0.456,0.102,0.289,0.132,0.068,112.009,30.533,73.232,1380.661,9,4,0.473,36.4,129.945,900.234,229.121
flava,0,10,NA,0.808,12.289,0.079,0.727,51.8,71.252,482.412,10.941,0.866,12.631,0.576,0.053,0.665,0.104,0.291,0.134,0.067,140.347,28.857,70.173,1867.013,6,2,0.482,31.6,152.532,784.452,255.063
flava,0.25,11,0.707,0.838,11.233,0.464,1.072,91.8,85.634,479.056,12.295,1.438,8.548,0.917,0.075,0.638,0.073,0.263,0.147,0.076,116.776,36.737,56.115,1053.826,11,7,0.381,42.8,89.019,626.72,113.084
flava,0.25,12,NA,NA,11.05,0.82,0.925,86.9,93.946,455.564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.444,44.249,NA,NA,6,1,0.376,37.5,100.267,782.774,231.2
jonesii,0.0625,1,0.819,0.802,8.938,1.209,0.324,41.9,129.321,435.428,13.112,1.565,8.38,0.838,0.064,0.536,0.036,0.22,0.013,0.069,77.327,40.348,67.441,1478.071,11,1,NA,NA,NA,NA,NA
jonesii,0.25,2,NA,NA,3.744,0.101,0.378,53.3,141.005,NA,13.544,2.438,5.555,0.856,0.063,0.351,0.047,0.219,0.108,0.08,70.919,23.83,38.994,864.193,11,0,NA,NA,NA,NA,NA
jonesii,0.0156,3,NA,NA,6.182,1.771,0.283,38.4,135.689,437.106,9.158,0.756,12.114,0.912,0.1,1.206,0.258,0.411,0.02,0.172,73.698,21.167,32.51,457.245,10,0,NA,NA,NA,NA,NA
jonesii,0.125,4,0.845,NA,1.82,1.013,0.26,42,161.538,452.208,4.478,1.02,4.391,1.24,0.277,1.216,0.136,0.596,0.092,0.218,61.905,24.392,27.553,139.387,9,0,NA,NA,NA,NA,NA
jonesii,0,5,0.784,0.738,2.715,0.851,0.407,44.4,109.091,430.394,15.94,1.808,8.814,0.842,0.053,0.466,0.039,0.236,0.01,0.07,91.667,2.509,4.174,110.682,7,0,NA,NA,NA,NA,NA
jonesii,0.25,6,0.838,0.834,2.933,0.927,0.486,58.1,119.547,465.632,10.069,2.401,4.193,1.328,0.132,0.553,0.065,0.416,0.007,0.109,83.649,34.43,36.328,385.947,6,0,NA,NA,NA,NA,NA
jonesii,0.03125,7,NA,NA,3.199,1.349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,0,NA,NA,NA,NA,NA
jonesii,0.0625,8,NA,NA,3.916,1.648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,NA,NA,NA,NA,NA
jonesii,0.125,9,NA,NA,7.649,1.021,0.433,53.4,123.326,432.072,12.135,2.49,4.874,0.818,0.067,0.328,0.066,0.217,0.094,0.075,81.086,9.126,15.637,325.117,9,1,NA,NA,NA,NA,NA
jonesii,0.0156,10,0.836,0.818,1.659,0.872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0,NA,NA,NA,NA,NA
jonesii,0,11,NA,NA,3.097,0.774,0.208,26.4,126.923,438.784,6.277,0.596,10.525,0.635,0.101,1.065,0.183,0.777,0.025,0.178,78.788,7.615,16.798,232.598,12,2,NA,NA,NA,NA,NA
jonesii,0.03125,12,0.845,0.834,4.44,1.446,0.301,41.2,136.877,445.496,11.938,2.407,4.959,0.945,0.079,0.392,0.092,0.298,0.006,0.084,73.058,28.197,41.816,740.3,9,0,NA,NA,NA,NA,NA
leucophylla,0,1,0.8,0.774,5.003,0.525,1.117,108.5,97.135,448.852,10.934,1.034,10.575,0.661,0.06,0.639,0.033,0.16,0.034,0.055,102.949,18.456,39.138,907.508,4,0,NA,NA,NA,NA,NA
leucophylla,0.125,2,NA,NA,5.692,0.802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,0.299,36.3,82.369,666.992,112.672
leucophylla,0.625,3,NA,NA,21.909,0.589,1.749,139.8,79.931,437.106,14.504,1.233,11.761,0.712,0.049,0.577,0.065,0.177,0.052,0.059,125.107,26.297,51.771,1478.242,5,0,NA,NA,NA,NA,NA
leucophylla,0.5,4,0.846,0.854,15.313,0.934,2.007,181.9,90.633,482.412,10.725,1.644,6.523,1.072,0.1,0.652,0.065,0.223,0.039,0.072,110.335,30.271,39.572,554.8,4,0,NA,NA,NA,NA,NA
leucophylla,0,5,NA,NA,18.212,0.573,2.594,241.8,93.215,479.056,9.104,1.143,7.967,0.643,0.071,0.562,0.046,0.189,0.066,0.063,107.279,35.608,77.629,1540.754,4,1,0.622,37.2,167.204,1348.26,232.796
leucophylla,1,6,NA,NA,10.566,0.877,1.609,140.6,87.383,532.752,11.205,1.628,6.882,1.638,0.146,1.006,0.065,0.273,0.103,0.083,114.438,55.576,47.525,455.379,5,2,0.833,71.7,116.179,1133.476,137.099
leucophylla,0.25,7,NA,NA,7.99,0.804,1.598,136.8,85.607,521.006,10.623,1.161,9.147,0.926,0.087,0.797,0.091,0.336,0.092,0.063,116.813,44.344,67.113,1078.965,5,1,0.309,22.9,134.934,742.502,129.258
leucophylla,0.125,8,NA,NA,21.03,1.551,1.889,152.6,80.783,482.412,14.706,1.362,10.8,0.888,0.06,0.652,0.112,0.242,0.074,0.081,123.788,29.648,46.791,1086.029,6,0,NA,NA,NA,NA,NA
leucophylla,0.625,9,0.813,0.817,14.531,0.797,1.667,133.9,80.324,482.412,8.297,1.206,6.882,0.814,0.098,0.675,0.045,0.221,0.059,0.067,124.496,73.978,127.299,1817.428,6,3,0.941,58.2,161.684,1423.77,162.543
leucophylla,0.25,10,0.837,0.846,17.679,1.054,2.892,219.5,75.899,490.802,13.295,1.06,12.541,0.817,0.061,0.77,0.084,0.252,0.069,0.071,131.754,39.24,67.316,1535.342,4,0,NA,NA,NA,NA,NA
leucophylla,1,11,0.848,0.843,14.537,0.906,1.947,189.6,97.381,549.532,13.392,1.448,9.248,1.263,0.094,0.872,0.073,0.228,0.083,0.09,102.69,48.398,53.696,797.829,6,0,NA,NA,NA,NA,NA
leucophylla,0.5,12,NA,NA,15.577,0.751,2.82,223.6,79.291,526.04,9.458,1.325,7.14,1.14,0.121,0.861,0.068,0.286,0.121,0.081,126.118,49.795,61.182,710.971,5,2,0.922,70.2,131.339,935.472,104.843
minor,0.3125,1,NA,NA,2.87,1.184,0.289,33.1,114.533,467.31,8.079,1.381,5.851,0.717,0.089,0.519,0.035,0.277,0.194,0.075,87.311,22.334,38.645,857.31,6,0,NA,NA,NA,NA,NA
minor,0.5,2,NA,NA,8.782,4.455,0.291,36.8,126.46,552.888,9.979,2.041,4.889,0.809,0.081,0.396,0.061,0.217,0.226,0.119,79.076,74.612,43.455,373.666,7,0,NA,NA,NA,NA,NA
minor,0.25,3,NA,NA,4.211,1.099,0.351,39.2,111.681,485.768,14.849,1.743,8.518,0.883,0.059,0.506,0.078,0.289,0.16,0.091,89.541,37.19,78.867,1758.904,5,0,NA,NA,NA,NA,NA
minor,0,4,NA,NA,3.914,1.556,0.424,44.9,105.896,437.106,14.467,1.52,9.516,0.778,0.054,0.512,0.151,0.203,0.252,0.078,76.169,22.713,44.401,701.26,4,0,NA,NA,NA,NA,NA
minor,0.3125,5,0.812,0.784,2.613,1.325,0.403,57.7,143.176,457.242,11.569,3.191,3.625,2.341,0.202,0.733,0.045,0.22,0.243,0.074,73.484,24.223,41.966,725.55,4,0,NA,NA,NA,NA,NA
minor,0.5,6,0.827,0.835,5.259,1.107,0.371,50.7,136.658,468.988,15.736,1.379,11.413,0.756,0.048,0.548,0.081,0.244,0.181,0.08,79.487,24.784,39.337,927.131,11,0,NA,NA,NA,NA,NA
minor,0.125,7,0.749,0.828,5.987,2.041,0.362,49.8,137.569,477.378,17.98,2.215,8.119,0.982,0.055,0.443,0.109,0.364,0.074,0.081,74.498,33.558,60.417,1573.617,7,0,NA,NA,NA,NA,NA
minor,0.125,8,NA,NA,1.663,0.605,0.205,62.4,304.39,502.548,12.472,1.475,8.454,0.754,0.06,0.511,0.149,0.189,0.19,0.137,58.013,86.877,51.993,359.963,5,0,NA,NA,NA,NA,NA
minor,0.0625,9,0.816,0.824,2.605,0.566,0.455,23.1,50.769,467.31,8.51,1.389,6.126,0.646,0.076,0.465,0.102,0.256,0.154,0.081,88.745,22.875,42.382,1235.643,5,0,NA,NA,NA,NA,NA
minor,0.0625,10,NA,NA,4.358,1.13,0.39,53.9,138.205,517.65,3.304,0.909,3.633,0.811,0.245,0.892,0.482,0.297,0.193,0.095,84.416,43.712,62.382,1600.717,7,0,NA,NA,NA,NA,NA
minor,0.25,11,0.81,0.777,3.47,0.595,0.718,67.7,94.29,NA,8.942,1.552,5.76,0.726,0.081,0.467,0.171,0.303,0.165,0.071,73.117,NA,NA,NA,4,0,NA,NA,NA,NA,NA
minor,0,12,0.772,0.796,2.36,1.418,0.135,51.1,378.519,448.852,5.962,1.466,4.067,0.737,0.124,0.502,0.381,0.342,0.128,0.074,76.321,23.454,50.893,939.748,5,0,NA,NA,NA,NA,NA
psittacina,0.0625,1,NA,NA,0.629,0.677,0.049,7.7,157.143,452.208,1.112,0.27,4.113,0.869,0.782,3.216,1.341,0.469,0.095,0.182,63.636,21.529,37.183,212.189,11,0,NA,NA,NA,NA,NA
psittacina,0.03125,2,NA,NA,2.056,0.463,0.147,19.4,131.973,504.226,1.5,0.402,3.728,0.896,0.597,2.226,1.254,0.305,0.071,0.08,75.773,33.257,64.209,1108.487,13,0,NA,NA,NA,NA,NA
psittacina,0,3,NA,NA,1.152,0.77,0.084,9.7,115.476,549.532,2.344,0.52,4.508,1.03,0.439,1.98,0.704,0.589,0.119,0.101,86.598,20.901,39.751,450.727,10,0,NA,NA,NA,NA,NA
psittacina,0,4,NA,0.695,0.298,0.863,0.024,2.7,112.5,425.36,4.606,0.847,5.439,0.845,0.183,0.998,0.27,0.63,0.137,0.483,88.889,15.75,25.387,45.487,11,0,NA,NA,NA,NA,NA
psittacina,0.25,5,NA,NA,0.623,0.644,0.027,5.9,218.519,462.276,8.452,1.261,6.701,0.399,0.047,0.316,0.11,0.573,0.214,0.373,45.763,39.115,61.182,143.543,17,0,NA,NA,NA,NA,NA
psittacina,0.0625,6,NA,NA,0.575,0.662,0.035,6.7,191.429,433.75,10.219,0.812,12.581,0.473,0.046,0.582,0.126,0.438,0.15,0.283,52.239,21.823,29.691,94.673,10,0,NA,NA,NA,NA,NA
psittacina,0.0156,7,NA,NA,0.859,0.385,0.031,9.4,303.226,442.14,14.616,1.591,9.185,0.859,0.059,0.54,0.066,0.278,0.086,0.141,32.979,36.387,60.316,460.507,12,0,NA,NA,NA,NA,NA
psittacina,0.125,8,NA,0.81,0.79,0.54,0.068,10.7,157.353,487.446,10.105,1.352,7.474,0.884,0.087,0.654,0.069,0.325,0.088,0.072,63.551,6.294,22.096,655.597,14,0,NA,NA,NA,NA,NA
psittacina,0.03125,9,NA,0.727,0.987,0.467,0.065,10.3,158.462,452.208,10.067,1.261,7.981,1.087,0.108,0.862,0.134,0.238,0.1,0.059,63.107,25.829,76.569,2319.538,14,0,NA,NA,NA,NA,NA
psittacina,0.0156,10,0.791,0.783,1.627,1.22,0.065,9.9,152.308,475.7,15.252,2.955,5.162,1.904,0.125,0.644,0.028,0.286,0.089,0.077,65.657,17.972,29.323,699.258,11,0,NA,NA,NA,NA,NA
psittacina,0.125,11,NA,NA,0.458,0.735,0.034,4.8,141.176,416.97,9.395,2.672,3.516,2.421,0.258,0.906,0.03,0.379,0.127,0.095,70.833,37.271,59.055,945.528,9,0,NA,NA,NA,NA,NA
psittacina,0.25,12,NA,NA,0.568,1.718,0.032,4.9,153.125,447.174,17.121,2.207,7.756,1.151,0.067,0.521,0.068,0.232,0.202,0.037,65.306,16.997,21.902,284.12,12,0,NA,NA,NA,NA,NA
purpurea,0.125,1,NA,NA,1.876,0.355,0.356,50.6,142.135,452.208,19.29,1.881,10.255,1.277,0.066,0.679,0.059,0.289,0.025,0.091,70.356,7.675,5.648,63.388,7,1,0.076,8.6,88.372,549.532,633.721
purpurea,0.25,2,0.748,0.825,5.571,0.287,1.329,140.7,105.869,725.722,19.759,1.877,10.529,1.101,0.056,0.587,0.052,0.231,0.074,0.125,94.456,17.68,10.229,55.601,5,0,NA,NA,NA,NA,NA
purpurea,0,3,NA,NA,2.965,0.358,0.564,42.1,74.645,569.668,19.632,2.2,8.924,0.937,0.048,0.426,0.071,0.498,0.057,0.086,133.967,1.194,1.454,30.308,4,0,NA,NA,NA,NA,NA
purpurea,0.03125,4,NA,NA,3.453,0.397,0.643,55.4,86.159,507.582,16.151,2.51,6.434,2.901,0.18,1.156,0.026,0.493,0.042,0.076,116.065,20.161,22.123,468.277,5,0,NA,NA,NA,NA,NA
purpurea,0.0156,5,NA,NA,6.903,0.333,0.985,51.1,51.878,715.654,24.985,2.604,9.593,1.221,0.049,0.469,0.167,0.389,0.04,0.07,192.759,2.542,3.234,81.296,5,0,NA,NA,NA,NA,NA
purpurea,0.0625,6,0.746,0.791,1.758,0.23,0.19,21.2,111.579,509.26,21.2,1.571,13.493,1.558,0.073,0.991,0.165,0.314,0.064,0.086,89.623,6.695,10.013,294.012,5,0,NA,NA,NA,NA,NA
purpurea,0.0156,7,NA,NA,1.599,0.38,0.152,11.7,76.974,519.328,19.075,1.606,11.874,0.873,0.046,0.543,0.054,0.219,0.041,0.148,129.915,NA,NA,NA,5,0,NA,NA,NA,NA,NA
purpurea,0.125,8,NA,NA,0.675,0.306,0.121,13.1,108.264,453.886,17.888,1.401,12.764,1.047,0.059,0.747,0.112,0.904,0.109,0.094,92.366,NA,NA,NA,6,0,NA,NA,NA,NA,NA
purpurea,0.0625,9,NA,NA,1.296,0.297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
purpurea,0.25,10,NA,NA,0.749,0.6,0.08,11.1,138.75,509.26,18.871,2.585,7.299,2.597,0.138,1.004,0.02,0.423,0.104,0.105,72.072,5.411,4.866,92.781,5,1,0.028,3,93.333,556.244,NA
purpurea,0.03125,11,NA,NA,12.338,0.422,0.863,43.8,50.753,564.634,12.157,1.312,9.264,2.366,0.195,1.803,0.194,0.316,0.058,0.059,197.032,NA,NA,NA,8,0,NA,NA,NA,NA,NA
purpurea,0,12,NA,0.815,1.76,0.462,0.249,21.4,85.944,509.26,31.638,2.819,11.223,4.28,0.135,1.518,0.126,0.381,0.07,0.094,116.355,9.11,12.193,291.934,4,0,NA,NA,NA,NA,NA
rosea,0.0625,1,NA,NA,1.373,0.458,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1,0.064,8.6,74.419,485.768,573.256
rosea,0.125,2,NA,NA,0.944,0.587,0.068,9.1,133.824,536.108,17.331,1.498,11.572,2.743,0.158,1.832,0.226,0.747,0.123,0.137,74.725,44.162,14.453,149.643,3,0,NA,NA,NA,NA,NA
rosea,0.125,3,NA,NA,0.674,0.478,0.078,13.1,167.949,519.328,14.995,1.284,11.682,1.015,0.068,0.79,0.087,0.343,0.335,0.138,59.542,90.692,66.474,963.546,5,1,NA,NA,NA,NA,NA
rosea,0.03125,4,0.815,0.803,1.768,0.55,0.241,48.7,202.075,467.31,25.719,1.739,14.789,2.125,0.083,1.222,0.215,0.283,0.175,0.107,49.487,114.374,77.882,740.876,4,1,NA,NA,NA,NA,NA
rosea,0.25,5,NA,NA,0.402,0.457,0.025,3.1,124,479.056,20.082,2.552,7.87,3.037,0.151,1.19,0.077,0.38,0.257,0.098,80.645,36.084,18.426,163.075,4,0,NA,NA,NA,NA,NA
rosea,0.0156,6,NA,NA,0.765,0.642,0.075,15,200,460.598,17.503,2.332,7.506,2.397,0.137,1.028,0.062,0.354,0.151,0.075,50,85.6,118.186,2446.918,2,0,NA,NA,NA,NA,NA
rosea,0.03125,7,NA,NA,1.416,0.452,0.116,17.9,154.31,467.31,28.037,3.791,7.395,2.835,0.101,0.748,0.027,0.468,0.335,0.1,64.804,67.125,44.256,750.433,4,0,NA,NA,NA,NA,NA
rosea,0,8,0.729,0.76,1.633,0.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0,NA,NA,NA,NA,NA
rosea,0.25,9,NA,NA,0.9,0.471,0.115,18.8,163.478,484.09,NA,NA,NA,NA,NA,NA,NA,0.326,0.098,0.108,61.17,94.981,43.806,405.728,3,0,NA,NA,NA,NA,NA
rosea,0.0625,10,0.797,NA,0.834,0.463,0.096,18,187.5,463.954,12.951,1.366,9.48,0.882,0.068,0.645,0.064,0.338,0.154,0.13,53.333,115.313,67.383,689.212,4,0,NA,NA,NA,NA,NA
rosea,0,11,NA,NA,0.682,0.735,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.008,1.2,66.667,467.31,NA
rosea,0.0156,12,0.711,NA,0.799,0.469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,NA,NA,NA,NA,NA
rubra,0.125,1,0.83,0.836,5.521,0.767,0.647,98,151.468,458.92,11.523,1.558,7.395,0.818,0.071,0.525,0.049,0.332,0.04,0.071,66.02,73.614,116.972,2407.174,7,0,NA,NA,NA,NA,NA
rubra,0.0625,2,0.821,0.845,7.697,1.224,0.554,78.8,142.238,448.852,13.105,1.029,12.741,0.673,0.051,0.654,0.052,0.341,0.029,0.073,70.305,47.081,87,1861.434,7,0,NA,NA,NA,NA,NA
rubra,0.25,3,NA,NA,8.403,0.922,0.564,82.3,145.922,455.564,9.017,1.591,5.668,0.97,0.108,0.609,0.043,0.458,0.022,0.098,68.53,46.549,84.567,1781.107,9,1,NA,NA,NA,NA,NA
rubra,0,4,0.72,0.785,7.464,1.117,0.772,114.2,147.927,455.564,10.533,1.044,10.085,0.701,0.067,0.671,0.072,0.312,0.025,0.076,67.601,43.195,74.01,1461.207,8,0,NA,NA,NA,NA,NA
rubra,0.03125,5,NA,NA,2.944,0.737,0.536,79.2,147.761,442.14,9.499,2.166,4.385,1.466,0.154,0.677,0.052,0.314,0.022,0.067,67.677,42.999,89.558,2444.48,5,0,NA,NA,NA,NA,NA
rubra,0.03125,6,0.818,0.828,7.933,1.688,0.765,103.6,135.425,463.954,21.567,1.043,20.683,0.694,0.032,0.666,0.076,0.272,0.035,0.073,73.842,65.139,94.111,1226.066,5,0,NA,NA,NA,NA,NA
rubra,0.0156,7,NA,NA,4.204,3.277,0.389,68.3,175.578,442.14,12.513,2.245,5.573,1.986,0.159,0.884,0.037,0.409,0.027,0.086,56.955,50.391,100.76,2122.159,4,0,NA,NA,NA,NA,NA
rubra,0.0625,8,NA,NA,7.023,2.531,0.585,95.7,163.59,468.988,15.424,1.344,11.472,0.722,0.047,0.537,0.05,0.249,0.054,0.094,61.129,91.937,87.842,797.263,5,0,NA,NA,NA,NA,NA
rubra,0.0156,9,0.753,NA,7.891,2.63,0.734,104.6,142.507,450.53,20.151,1.435,14.046,0.714,0.035,0.497,0.056,0.343,0.044,0.063,70.172,36.197,73.056,3180.082,5,1,NA,NA,NA,NA,NA
rubra,0.25,10,0.813,0.839,5.144,0.758,0.485,71.8,148.041,NA,8.515,2.3,3.701,2.665,0.313,1.158,0.045,0.298,0.043,0.167,67.549,80.682,56.919,502.439,7,0,0.208,22.1,94.118,499.192,182.353
rubra,0.125,11,NA,NA,10.745,1.3,0.692,96.6,139.595,460.598,13.01,2.112,6.159,2.263,0.174,1.071,0.032,0.298,0.019,0.065,71.636,39.785,77.237,2312.7,10,0,NA,NA,NA,NA,NA
rubra,0,12,NA,NA,2.859,0.819,0.554,78.2,141.155,448.852,11.781,1.237,9.522,0.86,0.073,0.695,0.112,0.284,0.021,0.055,70.844,40.935,80.361,3179.041,4,0,NA,NA,NA,NA,NA
