"deployment_id","true_file_name","years_insitu","site","date_placed","date_pulled","easting","northing","depth","notes"
"2011-2012-LTER_PJ_1058335","Expt_LTER_PJ_1058335.csv","2011-2012","WK","2011-10-10 16:00","2012-10-10 15:00","449379","4434086","Deep","this sensor was/is at a snow pole in the deeper position. File not in 2013-HOBO-readouts. Ask Chris to find"
"2011-2012-LTER_PK_1058321","LTER_PK_1058321_2010-2013_missingSome2013.csv","2011-2012","WK","2011-10-15 12:00","2012-10-10 13:00","449379","4434086","Std","data from 2010-2013 read out in 2013--no other record--some 2013 data missing.This sensor was in situ 2010-2013, but only recorded through late Jan 2013; was at a snow pole in the surface position. Ashley estimated DatePlaced, TimePlaced, DatePulled, TimePulled"
"2011-2012-LTER_PN_1056611","LTER_PN_1056611_2010-2013_missingSome2013.csv","2011-2012","WK","2011-10-15 14:00","2012-10-10 13:00","450079","4434232","Deep","This sensor was in situ 2010-2013, but only recorded through late Jan 2013; was at a snow pole in the deeper position. Ashley estimated DatePlaced, TimePlaced, DatePulled, TimePulled"
"2011-2012-LTER_PQ_941256","LTER_PQ_941256_2010-2013_missingSome2013.csv","2011-2012","WK","2011-10-15 14:00","2012-10-10 13:00","449935","4434096","Std","This sensor was in situ 2010-2013, but only recorded through late Jan 2013; was at a snow pole in the surface position. Ashley estimated DatePlaced, TimePlaced, DatePulled, TimePulled"
"2011-2012-LTER-P1-PA-1058337","LTER_P1_1058337_2012_deep_shelter.csv","2011-2012","WK","2011-08-19 12:00","2012-07-06 14:00","449099","4434476","TBD","No snow at pole today. Ashley estimated DatePlaced and TimePlaced. Files ends 7/6/2012 so Ashley updated DatePulled and TimePulled. Orginal DatePulled (10/8/2012), Original TimePulled (11:40)"
"2011-2012-LTER-P2-PB-941255","LTER_P2_941255.csv","2011-2012","WK","2011-09-02 08:00","2012-10-08 13:00","449061.5","4434435","Std","No snow at pole today. Ashley estimated DatePlaced and TimePlaced."
"2011-2012-LTER-P3-PC-941247","LTER_P3_941247.csv","2011-2012","WK","2011-09-02 08:00","2012-10-08 13:00","449061.5","4434435","Deep","No snow at pole today. Ashley estimated DatePlaced and TimePlaced."
"2011-2012-LTER-P4-PD-1056608","LTER_P4_1056608_2011-2012.csv","2011-2012","WK","2011-10-15 12:00","2012-10-08 13:00","449443","4434301","Std","Ashley estimated DatePulled and TimePulled. Ashley estimated DatePlaced and TimePlaced b/c csv file has data starting in 2010"
"2011-2012-LTER-P5-PE-1058326","LTER_P5_1058326_2011-2012.csv","2011-2012","WK","2011-10-15 11:00","2012-10-08 13:00","449443","4434301","Deep","Ashley estimated DatePulled and TimePulled. Ashley estimated DatePlaced and TimePlaced b/c csv file has data starting in 2010"
"2011-2012-LTER-P6-PF-941253","LTER_P6_941253_2012.csv","2011-2012","WK","2011-09-02 08:00","2012-10-08 11:00","449127","4434543","Std","No snow at pole today. Ashley estimated DatePlaced and TimePlaced."
"2011-2012-LTER-P7-PG-1058328","LTER_P7_1058328_2012.csv","2011-2012","WK","2011-09-02 08:00","2012-10-08 11:00","449135","4434532","Deep","No snow at pole today. Ashley estimated DatePlaced, TimePlaced, and TimePulled."
"2011-2012-LTER-PL-941249","LTER_PL_941249_2010-2013_missingSome2013.csv","2011-2012","WK","2011-10-10 16:00","2012-10-10 16:00","449443","4434339","TBD","data from 2010-2013 read out in 2013--no other record--some 2013 data missing.Sensor insitu 2010-2013. Stopped recording data in jan 2013"
"2011-2012-LTER-PM-1056609","Expt_LTER_PM_1056609.csv","2011-2012","WK","2011-09-02 16:00","2012-10-10 16:00","449443","4434339","Std","data not found.this sensor was/is at a snow pole in the surface position; this is also a giant pika haypile. Not in 2013-HOBO-readouts. Ask Chris to find"
"2011-2012-LTER-PO-1058334","LTER_PO_1058334_2010-2013_missingSome2013.csv","2011-2012","WK","2011-10-10 16:00","2012-10-10 16:00","450079","4434232","Std","data from 2010-2013 read out in 2013--no other record--some 2013 data missing.this sensor was/is at a snow pole in the surface position.Sensor insitu 2010-2013. Stopped recording data in jan 2013. Ashley estimated DatePlaced TimePLaced, DatePulled, TimePulled"
"2011-2012-O","O_2012.txt","2011-2012","ML","2011-08-30 10:00","2012-10-13 09:45","TBD","TBD","Std","west side of fallen tree behind large white rock in ""nursery"" site.Nursery site; both tagged pikas survived. Ashley estimated DatePlace and TimePlaced. Ashley: original placed coords (449474, 4437892), original pulled coords (448928, 4437879); Coords to different to average changed to TBD to be reviewed by Chris"
"2011-2012-S","S_2012.txt","2011-2012","LL","2011-09-20 18:00","2012-10-10 10:00","450083","4435669","Std","in trad haypile (only moved a few feet from Gerardo's location).The tagged pika survived until July but hasn't been seen since. Ashley updated DatePulled and TimePulled to reflect when the final ended. Original DatePulled (10/12/12), DateTime (11:00)"
"2011-2012-V","V_2012.csv","2011-2012","WK","2011-08-25 11:42","2012-09-24 09:45","449307.5","4434189","Std","Triangular.tagged pika not seen here this yr"
"2011-2012-X","X_2012.txt","2011-2012","ML","2011-08-30 08:00","2012-10-13 09:00","449382","4437898","Std","west of iron rock near gray rock on flat rock by grass.Ashley estimated DatePlaced and TimePlaced"
"2011-2012-XI","XI_2012.txt","2011-2012","LL","2011-09-20 18:00","2012-10-10 13:00","449881","4435496","Std","at Krear post.XI was in the same position 2010-2011 so I used all the data--even before 9/20/2011. Ashley estimated DatePulled, TimePulled"
"2011-2012-XK","XK_2012.txt","2011-2012","ML","2011-08-30 11:00","2012-10-18 13:30","449215","4437881","Std","at trapping location in flat talus field south of illegal shelter.Ashley estimated TimePlaced"
"2011-2012-Y","Y_2012.txt","2011-2012","ML","2011-09-15 15:30","2012-09-30 22:00","448928","4437879","Std","on (in contact with) north side of large, flat-ish rock north of obvious hay rocks.From txt file: ""NOTE!!!  DATA GOOD THROUGH ABOUT SEP 2012 (SEE APRIL CRAIGHEAD NOTES?) BUT THIS SENSOR WAS IN MY GARAGE AFTER THAT  :)"". Ashley updated DatePulled and TimePulled b/c of this. Original DatePulled (10/13/2012), original TimePulled (14:20)."
"2011-2012-Z","Z_2012.csv","2011-2012","TBD","2011-09-01 08:00","2012-08-29 10:00","TBD","TBD","TBD","Ashley added all infromation here. Z was not in this spreadsheet but was in 2012-HOBO-readouts. Looks like good data. No easting, northing, or site name available, need Chris to check other sources"
"2012-2013-941249","_941249.csv","2012-2013","WK","2012-10-10 16:00","2013-01-28 01:00","449443","4434339","Deep","this sensor was/is at a snow pole in the deeper position; this is also a giant haypile. File found in 2014-HOBO-readouts folder. Ashley estimated DatePlaced, TimePlaced, DatePulled and TimePulled"
"2012-2013-A","ML_2013_A_trimmed.txt","2012-2013","ML","2012-10-18 15:00","2013-08-14 06:00","449287.5","4437853","Std","moved sensor to trad hay site above sensor AB where we tagged a pika in 2012; launched as a demo for the 3-5 class at Jamestown Elementary so maybe launched a bit off the hour?.Original DatePulled (10/1/2013), TimePulled (12:40); Ashley changed to reflect trimmed file dates and times"
"2012-2013-AA","WKN_2013_AA_trimmed.txt","2012-2013","WK","2012-10-08 13:20","2013-10-03 09:00","449014","4434389","Std","UA male observed here so sensor was pulled. Ashley estimated TimePulled"
"2012-2013-AB","ML_2013_AB_trimmed.txt","2012-2013","ML","2012-10-18 14:00","2013-09-14 12:00","449300.5","4437834.5","Std","trad location flat rust rock.Original DatePulled (9/30/2013), TimePulled (13:25); Ashley changed to reflect trimmed file dates"
"2012-2013-AF","WKS_2013_AF_trimmed.txt","2012-2013","WK","2012-09-24 10:45","2013-10-03 15:00","449292","4434232","Std","no notes here on pika survival but see other notebooks.BXBX seen. Ashley estimated TimePulled"
"2012-2013-AG","LL_2013_AG_trimmed.txt","2012-2013","LL","2012-10-10 14:00","2013-08-09 11:00","449881","4435496","Deep","Ashley estimated DatePulled and TimePulled"
"2012-2013-AH","LL_2013_AH_trimmed.txt","2012-2013","LL","2012-10-10 13:30","2013-09-06 11:00","450137","4435695","Std","on N side of large flatish rock N of obvious hay rocks.Original DatePulled (10/1/2013), Ashley changed to reflect trimmed file dates."
"2012-2013-AJ","LL_2013_AJ_trimmed.txt","2012-2013","LL","2012-10-10 14:00","2013-10-02 08:00","449878.5","4435632.5","Std","no notes here on pika 2011 survival but see other notebooks; pika tagged here in 2012; sensor placed on SSW side of black rock at bottom of lower Krear Slope.moved from black rock at bottom of slope to new hay rock 4 m upslope.Ashley estimated TimePlaced and TimePulled"
"2012-2013-AK","WKN_2013_AK_trimmed.txt","2012-2013","WK","2012-10-08 12:00","2013-10-03 09:00","449099","4434476","Std","this sensor was moved here in 2012 to the snow pole surface position at the shelter on the N slope to replace sensor AJ.this sensor was at a snow pole in the surface position; it was pulled. Ashley estimated TimePulled"
"2012-2013-D","WKS_2013_D_trimmed.txt","2012-2013","WK","2012-10-08 13:40","2013-08-04 09:00","449291","4434281","Std","a tagged pika was here in Aug 2012 but see notes to see if it was the surviving pika or newly tagged.RRRX seen eating lichen with medium haypile; sensor pulled for other reasons. DatePulled originally (10/3/2013), Ashley changed to reflect trimmed file"
"2012-2013-E","LL_2013_E_trimmed.txt","2012-2013","LL","2012-10-10 18:00","2013-08-06 09:00","449890","4435515","Std","this pika did a duet with unseen male; sensor not moved but new coords were taken; sensor at trad hay site.Ashley estimated DatePulled and TimePulled and TimePlaced"
"2012-2013-G","ML_2013_G_trimmed.txt","2012-2013","ML","2012-10-18 17:00","2013-08-14 06:00","449476.5","4437829","Std","E side of N edge flat talus; left in same position because a tagged pika was seen here in Aug 2012.no data on survival. Original DatePulled (10/1/2013), TimePulled (14:35); Ashley changed to reflect trimmed file"
"2012-2013-H","H_10182275.csv","2012-2013","LL","2012-10-10 13:00","2013-10-03 11:00","449952","4435603","Std","no fresh hay but a tagged pika seen here; sensor moved to 1m E of trad hay and conifer.Found in 2014-HOBO-readouts. Has 2012-2013 data. Ashley estimated DatePulled and TimePulled"
"2012-2013-I","ML_2013_I_trimmed.txt","2012-2013","ML","2012-10-18 19:00","2013-08-14 10:00","448983.5","4437847.5","Std","wedged in upward-slanting crack between downed trees.Original DatePulled (10/9/2013), TimePulled (11:50); Ashley changed to reflect trimmed file"
"2012-2013-J","WKN_2013_J_trimmed.txt","2012-2013","WK","2012-10-08 13:00","2013-08-04 08:00","449061.5","4434435","Std","sensor J was NOT FOUND in 2013. Ashley estimated DatePulled and TimePulled"
"2012-2013-K","WKS_2013_K_trimmed.txt","2012-2013","WK","2012-09-24 15:00","2013-10-03 08:00","449293.5","4434151.5","Std","no notes here on pika survival but see other notebooks.first I just saw U/U but later I also saw WGRG. Ashley estimated TimePlaced and TimePulled"
"2012-2013-LTER_P6_PF","LTER_P6_941253_2012-2013.csv","2012-2013","WK","2012-10-10 15:00","2013-10-03 14:00","449091","4434389","Std","there was a tagged pika at pt 452 earlier in summer 2012 - see other notes.U pika seen but haypile was giant where PF was retrieved; placed at XBGY - location of trap 23 at pyramid rock. Original DatePlaced (10/8/2012), TimePlaced (13:40); File didn’t start until 10/10/2012 so Ashley changed placed info to reflect this. Ashley estimated TimePulled"
"2012-2013-LTER_PJ_1058335","Expt_LTER_PJ_1058335.csv","2012-2013","WK","2012-10-10 15:00","2013-01-29 02:00","449379","4434086","Deep","this sensor was/is at a snow pole in the deeper position. File not in 2013-HOBO-readouts. Ask Chris to find"
"2012-2013-LTER_PK_1058321","LTER_PK_1058321_2010-2013_missingSome2013.csv","2012-2013","WK","2012-10-10 13:00","2013-01-28 00:00","449379","4434086","Std","This sensor was in situ 2010-2013, but only recorded through late Jan 2013; was at a snow pole in the surface position. Ashley estimated DatePlaced, TimePlaced, DatePulled, TimePulled"
"2012-2013-LTER_PN_1056611","LTER_PN_1056611_2010-2013_missingSome2013.csv","2012-2013","WK","2012-10-10 13:00","2013-01-28 00:00","450079","4434232","Deep","data from 2010-2013 read out in 2013--no other record--some 2013 data missing.This sensor was in situ 2010-2013, but only recorded through late Jan 2013; was at a snow pole in the deeper position. Ashley estimated DatePlaced, TimePlaced, DatePulled, TimePulled"
"2012-2013-LTER_PQ_941256","LTER_PQ_941256_2010-2013_missingSome2013.csv","2012-2013","WK","2012-10-10 13:00","2013-01-27 05:00","449935","4434096","Std","This sensor was in situ 2010-2013, but only recorded through late Jan 2013; was at a snow pole in the surface position. Ashley estimated DatePlaced, TimePlaced, DatePulled, TimePulled"
"2012-2013-LTER-P1-PA-1058337","LTER_P1_.csv","2012-2013","WK","2012-10-10 13:00","2013-10-10 07:00","449863","4435581","Std","at 2012 sensor placement site the tagged pika from 2011 was seen here during summer 2012.this sensor was retrieved in Oct 2014 but I split the data. File found in 2014-HOBO-readouts. Contains 2012-2014 data"
"2012-2013-LTER-P2-PB-941255","LTER_PB_P2_941255.csv","2012-2013","WK","2012-10-10 13:00","2013-10-03 13:00","449061.5","4434435","Std","this sensor was/is at a snow pole in the surface position.this sensor was at a snow pole in the surface position; it was pulled because it wasn't reading out in the field. Ashley estimated DatePlaced, TimePlaced, and TimePulled"
"2012-2013-LTER-P3-PC-941247","LTER_PC_P3_941247.csv","2012-2013","WK","2012-10-10 15:00","2013-10-03 13:00","449060","4434434","Deep","this sensor was/is at a snow pole in the deeper position.this sensor was at a snow pole in the deeper position. Ashley estimated DatePlace, TimePlaced, and TimePulled"
"2012-2013-LTER-P4-PD-1056608","LTER_P4_1056608_2012-2013.csv","2012-2013","WK","2012-10-10 13:00","2013-10-03 10:00","449443","4434301","Std","this sensor was/is at a snow pole in the surface position.this sensor was/is at a snow pole in the surface position. Ashley estimated DatePlace, TimePlaced, and TimePulled"
"2012-2013-LTER-P5-PE-1058326","LTER_P5_1058326_2012-2013.csv","2012-2013","WK","2012-10-10 15:00","2013-10-03 10:00","449443","4434301","Deep","this sensor was/is at a snow pole in the deeper position.this sensor was/is at a snow pole in the deeper position. Ashley estimated DatePlace, TimePlaced, and TimePulled"
"2012-2013-LTER-P8-PH-1058341","LTER_P8_1058341_2012-2013.csv","2012-2013","WK","2012-10-10 16:00","2013-10-03 17:00","449399","4434135","Std","this sensor was/is at a snow pole in the surface position.this sensor was/is at a snow pole in the surface position. Ashley estimated DatePlace, TimePlaced, and TimePulled. On 8/15/2013 10:00 temp = 89.49°C, and on 8/15/2013 11:00 temp = 58.63°C; Ashley deleted these out to reduce confusion"
"2012-2013-LTER-P9-PI-1058329","LTER_P9_1058329_2012-2013.csv","2012-2013","WK","2012-10-10 16:00","2013-10-03 17:00","449399","4434135","Deep","this sensor was/is at a snow pole in the deeper position.this sensor was/is at a snow pole in the deeper position. Ashley estimated DatePlace, TimePlaced, and TimePulled"
"2012-2013-LTER-PL-941249","LTER_PL_941249_2010-2013_missingSome2013.csv","2012-2013","WK","2012-10-10 16:00","2013-01-28 01:00","449443","4434339","TBD","data from 2010-2013 read out in 2013--no other record--some 2013 data missing.Sensor insitu 2010-2013. Stopped recording data in jan 2013"
"2012-2013-LTER-PM-1056609","Expt_LTER_PM_1056609.csv","2012-2013","WK","2012-10-10 16:00","2013-10-03 08:00","449443","4434339","Std","data not found.this sensor was/is at a snow pole in the surface position; this is also a giant pika haypile. Not in 2013-HOBO-readouts. Ask Chris to find"
"2012-2013-LTER-PO-1058334","LTER_PO_1058334_2010-2013_missingSome2013.csv","2012-2013","WK","2012-10-10 16:00","2013-01-28 03:00","450079","4434232","Std","data from 2010-2013 read out in 2013--no other record--some 2013 data missing.this sensor was/is at a snow pole in the surface position.Sensor insitu 2010-2013. Stopped recording data in jan 2013. Ashley estimated DatePlaced TimePLaced, DatePulled, TimePulled"
"2012-2013-O","ML_2013_O_trimmed.txt","2012-2013","ML","2012-10-18 13:15","2013-09-14 11:00","449491","4437841.5","Std","N/BW survived despite losing most of his right ear; moved hay to interior of slope; his female now near old large hay site.Ashley estimated DatePulled and TimePulled to reflect trimmed file"
"2012-2013-PG","WKS_2013_PG_trimmed.csv","2012-2013","WK","2012-09-24 08:55","2013-10-03 15:00","449267","4434161","Std","Ashley estimated TimePulled"
"2012-2013-PH","WKS_2013_PH_trimmed.csv","2012-2013","WK","2012-09-24 11:10","2013-10-03 11:00","449348","4434326","Std","YRXY has giant haypile this year. Ashley estimated TimePulled"
"2012-2013-PI-10182276-NOT LTER","I_10182276.csv","2012-2013","WK","2012-10-08 12:00","2013-10-03 11:00","449099","4434476","Deep","placed at 2011 location of sensor LTER_P1_1058337 (North side of west knoll, middle snow pole, just south of rock shelter, 25 cm SE of pole).this sensor was at a snow pole in the deeper position; it was pulled from there and placed in Goldilock's new territory under a cairn. Ashley estimated TimePulled"
"2012-2013-PN","PN_10182281_2014-readout2019.csv","2012-2013","WK","2012-10-08 13:00","2013-10-03 12:00","449080","4434441","Std","there was a tagged pika at pt 450 earlier in summer 2012 - see other notes.no notes but no check-mark indicating successful download-relaunch so maybe this sensor was not working upon 2013 readout. Not in 2013-HOBO-readouts but found in 2019 readouts. Ashley estimated TimePulled"
"2012-2013-S","LL_2013_S_trimmed.txt","2012-2013","LL","2012-10-10 11:45","2013-09-06 11:00","450063.5","4435666.5","Std","2011 pika seen tagged here in July 2012; sensor moved downhill a bit to trad hay site.Ashley estimated DatePulled and TimePulled"
"2012-2013-V","V_2013.txt","2012-2013","WK","2012-09-25 13:00","2013-10-03 13:00","449285","4434187","Std","no notes here on pika survival but see other notebooks.marmot den here; large haypile. Ashley estimated DatePlaced, TimePlaced, and TimePulled"
"2012-2013-X","ML_2013_X_trimmed.txt","2012-2013","ML","2012-10-13 10:00","2013-09-09 08:00","449381.5","4437898.5","Std","W side of iron rock.Ashley estimated DatePulled and TimePulled to reflect trimmed file"
"2012-2013-XK","ML_2013_XK_trimmed.txt","2012-2013","ML","2012-10-18 14:00","2013-09-14 12:00","449217","4437881","Std","S of illegal shelter at trap.Ashley estimated DatePulled and TimePulled to reflect trimmed file"
"2012-2014-PN","PN_10182281_2014-readout2020.csv","2012-2014","WK","2012-09-24 11:00","2014-01-30 03:00","449077","4434434","Std",""
"2013-2014-AG","AG_2014_readout2015.csv","2013-2014","LL","2013-08-09 12:30","2014-07-06 12:00","449879","4435497.5","Deep","Krear Post, deep position.Ashley estimated DatePlaced, DatePulled, and TimePulled"
"2013-2014-E","E_2014_readoutin2016.txt","2013-2014","LL","2013-08-09 12:30","2014-06-05 08:30","449908","4435564","Std","programmed on 8/9/13 to take data for only 300 days at 4-hr intervals.Ashley estimated DatePlaced, DatePulled and TimePulled"
"2013-2014-G","G_10182274_2014.csv","2013-2014","WK","2013-10-03 17:00","2014-09-11 09:00","449067","4434429","TBD","Replaced on 7/9/14 with sensor ""A"". Ashley estimated DatePlaced, TimePlaced, DatePulled, and TimePulled"
"2013-2014-LTER_P1_1058337","LTER_P1_edited.csv","2013-2014","LL","2013-10-10 07:00","2014-10-09 08:00","449865","4435577.5","TBD","this sensor was placed in this position Oct 2012 and data were separated by year. Ashley created ""LTER_P1_edited.csv"" to get rid of the temp recorded on 1/7/2014 of 131.92°C"
"2013-2014-LTER_P4_1056608","LTER_P4_1056608_2014.csv","2013-2014","WK","2013-10-03 14:00","2014-09-25 10:00","449443","4434301","Std","this sensor was/is at a snow pole in the surface position.snow pole on NE side of WK. Ashley estimated TimePlaced"
"2013-2014-LTER_P5_1058326","LTER_P5_1058326_2014.csv","2013-2014","WK","2013-10-03 12:00","2014-09-25 10:00","449443","4434301","Deep","this sensor was/is at a snow pole in the deeper position.snow pole on NE side of WK. Ashley estimated TimePlaced"
