"deployment_id","true_file_name","years_insitu","site","date_placed","date_pulled","easting","northing","depth","notes"
"2013-2014-LTER_P7_1058328","LTER_P7_1058328_2014.csv","2013-2014","WK","2013-10-03 15:00","2014-09-11 11:00","449135","4434532","Deep","this sensor was/is at a snow pole in the deeper position; large haypile here also.Ashley estimated TimePlaced"
"2013-2014-LTER_P8_1058341","LTER_P8_1058341_2014.csv","2013-2014","WK","2013-10-03 18:00","2014-08-23 23:00","449399","4434135","Std","this sensor was/is at a snow pole in the surface position.Ashley estimated TimePlaced, DatePulled, and TimePulled. After 8/23/2014 logger started randomly recording temperature above 100°F; Ashley trimmed data after this point to deal with issue"
"2013-2014-LTER_P9_1058329","LTER_P9_1058329_2014.csv","2013-2014","WK","2013-10-03 18:00","2014-09-25 10:00","449399","4434135","Deep","this sensor was/is at a snow pole in the deeper position.340 degrees, 1 m from snow pole. Ashley estimated TimePlaced"
"2013-2014-LTER_PJ_1058335","LTER_PJ_1058335_2014.csv","2013-2014","WK","2013-10-03 18:00","2014-09-25 10:00","449379","4434084","Deep","this sensor was/is at a snow pole in the deeper position.at snowpole. Ashley estimated TimePlaced"
"2013-2014-LTER_PK_1058321","LTER_PK_1058321_2014.csv","2013-2014","WK","2013-10-03 18:00","2014-09-25 10:00","449379","4434084","Std","this sensor was/is at a snow pole in the surface position.""will set up with students on 10/3/14"". Ashley estimated TimePlaced"
"2013-2014-LTER_PL_941249","LTER_PL_941249_2014.csv","2013-2014","WK","2013-10-03 11:00","2014-09-25 09:00","449443","4434339","Deep","this sensor was/is at a snow pole in the deeper position.Ashley estimated TimePlaced"
"2013-2014-LTER_PM_1056609","LTER_PM_1056609_2014.csv","2013-2014","WK","2013-10-03 16:00","2014-09-25 09:00","449443","4434339","Std","this sensor was/is at a snow pole in the surface position; this is also a giant pika haypile.Ashley estimated TimePlaced."
"2013-2014-LTER_PO_1058334","LTER_PO_1058334_2014.csv","2013-2014","WK","2013-10-03 15:00","2014-10-16 13:00","450079","4434232","Std","this sensor was/is at a snow pole in the surface position.Ashley estimated TimePlaced"
"2013-2014-LTER_PP_941250","LTER_PP_914250_Jimmy_2014.csv","2013-2014","WK","2013-11-03 11:00","2014-06-25 11:00","TBD","TBD","TBD","This sensor was part of Jimmy's project and was not in place a full year (recorded temperatures Nov-Jun). Ashley estimated DatePlaced, TimePlaced, DatePulled, and TimePulled. Ashley: no information about easting or northing, need Chris to check other sources."
"2013-2014-LTER_PQ_941256","LTER_PQ_941256_2014.csv","2013-2014","WK","2013-10-03 16:00","2014-10-16 13:00","449935","4434096","Std","this sensor was/is at a snow pole in the surface position.Ashley estimated TimePlaced"
"2013-2014-OL","OL_2014.txt","2013-2014","LL","2013-10-02 11:00","2014-10-01 14:00","449882","4435650.5","Std","part of Jimmy array. Haypile. Ashley estimated DatePulled and TimePulled"
"2013-2014-OM","OM_2014.txt","2013-2014","LL","2013-10-02 09:00","2014-10-09 07:40","449878","4435631","Std","rat den visible at 9889 5617 no hay. Ashley estimated DatePlaced and TimePlaced"
"2013-2014-OS","OS_2014.txt","2013-2014","LL","2013-10-02 09:00","2014-10-09 14:30","450137.5","4435695.5","Std",""
"2013-2014-OT","OT_2014.txt","2013-2014","LL","2013-10-01 09:00","2014-10-09 13:55","450136","4435679.5","Std",""
"2013-2014-OV","OV_2014.txt","2013-2014","LL","2013-08-09 14:00","2014-10-09 08:30","449842","4435588.5","Std","Ashley estimated DatePlaced"
"2013-2014-OX","OX_2014_readoutIn2015.txt","2013-2014","LL","2013-08-09 13:00","2014-10-09 10:20","449898.5","4435522","Std","Ashley estimated DatePlaced"
"2013-2014-OY","OY_2014.txt","2013-2014","LL","2013-10-01 10:00","2014-10-09 13:15","449994","4435642","Std",""
"2013-2014-PE_10182272","PE_10182272_2014.csv","2013-2014","ML","2013-10-01 13:25","2014-10-03 12:45","449407.5","4437883","Std",""
"2013-2014-PH","PH_10182275_2014.csv","2013-2014","WK","2013-10-03 17:00","2014-09-11 10:00","449348","4434326","Std","YRXY has giant haypile this year.Use to be called H. ""PH_10182275_2014"" the same sensor as 2012-2013 H. Ashley estimated TimePlaced"
"2013-2014-PI","PI_10182276_2014.csv","2013-2014","WK","2013-10-03 17:00","2014-09-11 10:00","449126","4434545","Deep","this sensor was at a snow pole in the deeper position; it was pulled from there and placed in Goldilock's new territory under a cairn.Ashley estimated TimePlaced"
"2013-2014-PL_10182279","LTER_PL_941249_2014.csv","2013-2014","WK","2013-10-03 11:00","2014-09-25 09:00","449290","4434275","Std","sensor still in situ? I may have mistaken this PL for the LTER_PL when recording the pull date; I cannot find a readout for 2014 except for the LTER_PL which was read out in the middle of winter 2013-2014. Ashley estimated TimePlaced, DatePulled, and TimePulled"
"2013-2014-PM","PM_10182280_2014.csv","2013-2014","ML","2013-09-30 12:00","2014-10-03 14:00","449300","4437833","Std","Ashley estimated DatePlace, TimePlaced, and TimePulled"
"2013-2014-PN","PN_10182281_2014-readout2019.csv","2013-2014","WK","2013-10-03 12:00","2014-01-30 03:00","449080","4434441","Std","there was a tagged pika at pt 450 earlier in summer 2012 - see other notes.no notes but no check-mark indicating successful download-relaunch so maybe this sensor was not working. Not in 2013-HOBO-readouts. Found in 2019 folder. Ashley estimated DatePlaced, TimePlaced, DatePulled, and TimePulled"
"2013-2014-PP","PP_10366896_2014.csv","2013-2014","ML","2013-10-01 12:40","2014-10-03 13:00","449287","4437855","Std","didn't check light before attempting to download. Not blinking after attempt"
"2013-2014-PQ","PQ_10366893_2014.csv","2013-2014","WK","2013-10-03 16:00","2014-09-11 11:40","449060","4434434","Std","this sensor is at a snow pole in the surface position; giant haypile here also.L hay all around sensors. Moved up. Ashley estimated TimePlaced"
"2013-2014-PR","PR_10361316_2014.csv","2013-2014","WK","2013-10-03 14:00","2014-09-11 11:40","449060","4434434","Deep","this sensor is at a snow pole in the deeper position; giant haypile here also.Ashley estimated TimePlaced"
"2013-2014-PS","PS_10366894_2014.csv","2013-2014","ML","2013-10-09 10:55","2014-09-22 09:00","449491","4437842","Std","N/BW survived the winter but not the summer"
"2013-2014-PT","PT_10361317_2014.csv","2013-2014","WK","2013-10-09 12:10","2014-07-27 14:00","448839","4437904","Std","200 degrees. 1m from cairn. we tagged a pika near here at point 122 on 9/18/14. pulled 7/28/14 after 13:00 from furthest 2013 trap position at Mitchell Lake - pulled early because I exposed it when setting a trap in same location - looks like deep snow covered sensor all winter until 7/23/14! Ashley estimated TimePulled"
"2013-2014-PU","PU_10361318_2014.csv","2013-2014","ML","2013-10-09 11:50","2014-09-22 10:00","448981","4437847.5","Std","tagged between downed trees.270 degrees 1.3 m from cairn; UA hayed to rock right under downed trees (lake side near sensor)"
"2013-2014-PV","PV_10366898_2014.csv","2013-2014","WK","2013-10-03 14:00","2014-09-11 11:40","449099","4434475","Std","this sensor is at a snow pole in the surface position; giant haypile here at shelter.this sensor is at a snow pole in the deeper position; giant haypile here at shelter. Ashley estimated TimePlaced"
"2013-2014-PW","PW_10366897_2014.csv","2013-2014","WK","2013-10-03 14:00","2014-09-11 11:40","449099","4434475","Deep","this sensor is at a snow pole in the deeper position; giant haypile here at shelter.this sensor is at a snow pole in the deeper position; giant haypile here at shelter. Ashley estimated TimePlaced"
"2013-2014-PY_10366895","PY_10366895.csv","2013-2014","WK","2013-10-03 16:00","2014-10-24 13:35","449248","4434273","Std","large haypile here.In-situ Oct 2013 to mid-Nov 2014 and then just in my house. Ashley estimated TimePlaced"
"2013-2014-XI","XI_2014_readout2015.txt","2013-2014","LL","2013-08-09 12:30","2014-07-06 10:00","449879","4435497.5","Std","Krear Post, deep position.Ashley estimated DatePlaced, DatePulled, and TimePulled"
"2013-2015-Long3-Aidan-relic","PAG_Long3_2015-readout2020-Aidan-relic.csv","2013-2015","LL","2013-12-01 18:00","2015-07-28 03:00","449990","4435647","Std","from Aidan project; found on 7/9/2020 hanging by wire very near surface in north-facing shade (sun never hit it judging by temperatures recorded)"
"2013-2015-PF","PF_10182273_2014-readout2020.csv","2013-2015","WK","2013-10-03 19:00","2015-03-07 13:00","449270","4434165","Std","pika XXRX nearby"
"2014-2015-FA","FA_2015-readout2020.csv","2014-2015","LL","2014-06-25 13:00","2015-07-14 08:30","449974","4435621","Std","from Aidan project; found on 8/30/2020; placement (in Otter Box) appeared to follow Ray protocol; RH data too"
"2014-2015-FB","FB_2015-readout2020.csv","2014-2015","LL","2014-06-25 13:00","2015-07-14 09:30","449974","4435621","Deep","from Aidan project; found on 8/30/2020; placement (in Otter Box) appeared to follow Ray protocol; RH data too"
"2014-2015-FF","FF_2015-readout2020.csv","2014-2015","WK","2014-06-25 14:00","2015-07-14 11:36","449318","4434080","Meadow","found in meadow under single rock; Airy has photos; pulled on 6/22/20; RH data too"
"2014-2015-FI","FI_2015-readout2020.csv","2014-2015","LL","2014-06-25 13:30","2015-07-14 10:30","449976","4435620","Std","RH data too; pika UA"
"2014-2015-FK","FK_2015-readout2020.csv","2014-2015","LL","2014-06-25 12:30","2015-07-14 10:30","449992","4435647","Std","from Aidan project; found on 8/30/2020; placement (in Otter Box) appeared to follow Ray protocol; RH data too"
"2016-2018-PAD","PAD_2018-readout2020.csv","2016-2018","WK","2016-11-05 16:00","2018-04-08 08:00","449291","4434285","Std",""
"2016-2018-PE","PE_10182272_2018-readout2020.csv","2016-2018","WK","2016-11-05 14:50","2018-04-07 22:00","449232","4434238","Std",""
"2016-2018-PG","PG_10182274_2018-readout2020.csv","2016-2018","WK","2016-10-22 18:00","2018-03-06 18:00","449080","4434425","Std","pika H/WW"
"2017-2019-LY","LY_2019-readout2020.csv","2017-2019","ML","2017-08-24 22:00","2019-10-08 01:00","449126","4437938","Std","stopped recording a few days before retrieval"
"2017-2020-PAZ-JLong4","PAZ_Jlong4_2017-2020.csv","2017-2020","WK","2017-09-23 12:00","2020-01-06 11:00","449323","4434273","Std","from Aidan project; found on 6/30/2020"
"2018-2019-2_4","#2-4_2019-TREE.csv","2018-2019","LL","2018-10-01 14:00","2019-10-15 11:30","449881","4435502","Tree","traditional position on N side of tree and with traditional shading by branches and perforated yogurt cup. Ashley estimated DatePlaced and TimePlaced"
"2018-2019-AF","AF_2019-Ashley.txt","2018-2019","GL5","2018-09-11 14:00","2019-08-13 10:00","446354","4433651","TBD","From Ashley's project. Ashley estimated TimePlaced and TimePulled"
"2018-2019-AJ","AJ_2019-Ashley.csv","2018-2019","GL1","2018-09-13 14:00","2019-08-27 12:00","448452","4433720","TBD","From Ashley's project. Ashley estimated TimePlaced and TimePulled"
"2018-2019-E","E_2019.txt","2018-2019","WK ","2018-10-01 14:00","2018-12-09 15:00","449318","4434239","Std","in situ 9/16/17 to 12/3/18. Included 10/2018-12/2018 in this year's data. Ashley estimated DatePlaced, TimePlaced, DatePulled, and TimePulled"
"2018-2019-FD","FD_2019.csv","2018-2019","ML","2018-10-04 14:00","2019-10-19 11:30","448932","4437886","Std","FD_2019-readout2020.csv also exists, containing the same data"
"2018-2019-K","K_2018_readout2019.txt","2018-2019","LL","2018-10-01 14:00","2018-12-03 00:00","449892","4435510","Std","in situ 9/10/17 to 12/3/18. Included 10/2018-12/2018 in this year's data. Ashley estimated DatePlaced, TimePlaced, DatePulled, and TimePulled"
"2018-2019-LE","LE_2019.txt","2018-2019","ML","2018-10-04 12:00","2019-10-19 10:10","449402","4437883","Std","LE_2019-readout2020.txt also exists, containing the same data"
"2018-2019-LO","LO_2019.txt","2018-2019","WK ","2018-10-01 14:00","2019-07-16 16:00","449094","4434477","Deep","at snow pole at shelter; intermediate position. Original DatePulled 10/17/10, original TimePUlled 17:46; Ashley changed to reflect file. Ashley estimated DatePlaced and TimePlaced"
"2018-2019-LTER P8/PH","LTER_P8_PH_1058341_2019.csv","2018-2019","WK","2018-10-01 14:00","2019-10-17 14:45","449380","4434083","Deep","deep at snow pole. Ashley estimated DatePlaced and TimePlaced"
"2018-2019-LTER PL","LTER_PL_941249_2019.csv","2018-2019","WK ","2018-10-01 14:00","2019-09-30 15:00","449318","4434088","Std","Original DatePulled 10/1/19, orginal TimePulled 17:00; Ashley changed to reflect file. Ashley estimated DatePlaced and TimePlaced"
"2018-2019-LTER PO","LTER_PO_1058334_2019.csv","2018-2019","WK","2018-10-01 14:00","2019-10-17 14:45","449380","4434083","Std","shallow at snow pole. Ashley estimated DatePlaced and TimePlaced"
"2018-2019-LY","LY_2019.csv","2018-2019","ML","2018-10-04 14:00","2019-10-08 01:00","449126","4437938","Std","Original DatePulled 10/19/2019, original TimePulled 11:05; Ashley changed to reflect file. Ashley estimated DatePlaced and TimePlaced"
"2018-2019-OG-deep","OG_2019.txt","2018-2019","LL","2018-10-01 14:00","2019-10-04 09:00","449880","4435498","Deep","Data represent 1st column (channel 1) of the raw file from the OG INternal sensor positioned low (deep) at the Krear post; original DatePulled 10/15/19, original TimePulled 11:07; Ashley changed to reflect file. Ashley estimated DatePlaced and TimePlaced"
"2018-2019-OG-shallow","OG_2019.txt","2018-2019","LL","2018-10-01 14:00","2019-10-04 09:00","449880","4435498","Std","Data represent 2nd column (channel 3) of the raw file from the OG EXternal sensor positioned high (shallow) at the Krear post; original DatePulled 10/15/19, original TimePulled 11:07; Ashley changed to reflect file. Ashley estimated DatePlaced and TimePlaced"
"2018-2019-OJ","OJ_2019.txt","2018-2019","LL","2018-10-01 14:00","2019-08-28 14:40","449920","4435578","Std","Ashley estimated DatePlaced and TimePlaced"
"2018-2019-OP","OP_2019.txt","2018-2019","ML","2018-10-04 12:00","2019-10-19 09:52","449475","4437848","Std","Original time pulled = 9:52 am but records end at 3:00 am; OP_2019-readout2020.txt also exists, containing the same data"
"2018-2019-OR","OR_2019.txt","2018-2019","ML","2018-10-04 12:00","2019-09-14 07:30","449284","4437869","Std","Ashley estimated DatePlaced and TimePlaced"
"2018-2019-OS","OS_2019.txt","2018-2019","WK ","2018-10-01 14:00","2019-03-26 14:00","449094","4434477","Std","at snow pole at shelter; shallow position. Original DatePulled 10/17/19, orginial TimePulled 17:46; Ashley changed to reflect file. Ashley estimated DatePlaced and TimePlaced"
"2018-2019-OX","OX_2019-readout2020.txt","2018-2019","ML","2018-10-04 12:00","2019-10-19 03:00","449471","4437834","Std","pika RWBG nearby; original time pulled = 9:37 am but records end at 3:00 am; OX_2019-readout2020.txt also exists, containing the same data"
"2018-2019-PAB","PAB_2019.csv","2018-2019","ML","2018-10-01 14:00","2019-01-24 20:00","449377","4437902","Tree","Tree. Original DatePulled 9/20/19, original TimePulled 11:40; Ashley changed to reflect file. Ashley estimated DatePlaced and TimePlaced"
"2018-2019-Q","Q_2019.txt","2018-2019","ML","2018-10-04 12:00","2019-09-13 15:00","449490","4437842","Std","Ashley estimated DatePlaced and TimePlaced"
"2018-2019-S","S_2019-Ashley.txt","2018-2019","GL1","2018-09-13 14:00","2019-08-27 12:00","448394","4433701","TBD","From Ashley's project. Ashley estimated TimePlaced and TimePulled"
"2018-2019-WK","WK_2019.txt","2018-2019","ML","2018-10-04 12:00","2019-09-14 09:00","449379","4437906","Std","Ashley estimated DatePlaced and TimePlaced"
"2018-2019-XC","XC_2019.txt","2018-2019","WK ","2018-10-01 14:00","2019-07-09 20:00","449223","4434157","Std","Original DatePulled 10/17/2019, original TimePulled 16:10; Ashley changed to reflect file. Ashley estimated DatePlaced TimePlaced"
"2018-2019-XD","XD_2019-readout2020.txt","2018-2019","ML","2018-10-04 14:00","2019-10-19 11:50","448783","4437897","Std","pika M/XX"
"2018-2019-XJ","XJ_2019-readout2020.txt","2018-2019","ML","2018-10-04 12:00","2019-10-19 09:20","449540","4437830","Std","XJ_2019-readout2020.txt also exists, containing the same data"
"2018-2019-Z","Z_2019-Ashley.txt","2018-2019","ML","2018-09-11 12:00","2019-08-27 10:00","446468","4433647","Std","Ashley estimated TimePlaced and TimePulled; see also notes on why this was pulled early in README-notes-4-archive.txt"
"2019-2019-OT","OT_2020-firstMonth.txt","2019-2019","WK","2019-08-21 15:00","2019-10-17 16:35","449239","4434200","Std","COMBINE THESE DATA WITH DATA FROM SENSOR ""XH"" BECAUSE OT WAS ACCIDENTALLY REPLACED BY XH IN 2019 AFTER JUST UNDER 2 MONTHS OF DATA COLLECTION; pika GGGG nearby"
"2019-2020-AA","AA_2020.txt","2019-2020","LL","2019-10-15 11:13","2020-08-30 08:25","449880","4435498","Std","Krear post, shallow position"
"2019-2020-AL","AL_2020.txt","2019-2020","ML","2019-09-20 11:30","2020-08-02 11:15","449377","4437902","Std","pika YYYG"
"2019-2020-E","E_2020.txt","2019-2020","LL","2019-10-15 12:00","2020-07-24 12:00","449916","4435561","Std",""
"2019-2020-K","K_2020.txt","2019-2020","WK","2019-08-21 12:47","2020-07-22 12:28","449315","4434238","Std","pika UA on 6/23/20"
"2019-2020-L","L_2020.txt","2019-2020","WK","2019-10-17 17:05","2020-09-13 14:55","449282","4434291","Std",""
"2019-2020-LL","LL_2020.txt","2019-2020","WK","2019-10-02 08:15","2020-07-22 13:50","449030","4434388","Std","pika UA"
"2019-2020-LTER_PL","LTER_PL_941249_2020.csv","2019-2020","LL","2019-10-15 11:30","2020-08-30 08:30","449881","4435502","Tree","tree at Krear post"
"2019-2020-M","M_2020.txt","2019-2020","WK","2019-08-21 14:23","2020-07-22 14:42","449245","4434294","Std","pika RYOG"
"2019-2020-O","O_2020.txt","2019-2020","WK","2019-10-17 15:55","2020-09-20 12:50","449250","4434148","Std","pika GYRR nearby"
"2019-2020-OA","OA_2020.txt","2019-2020","LL","2019-10-15 11:34","2020-08-30 08:55","449856","4435488","Std",""
"2019-2020-OAC","OAC_2020.txt","2019-2020","LL","2019-10-15 11:00","2020-07-24 10:00","450085","4435668","Std",""
"2019-2020-OB","OB_2020.txt","2019-2020","WK","2019-08-21 13:09","2020-07-22 12:41","449320","4434282","Std",""
"2019-2020-OE-Deep","OE_2020.txt","2019-2020","ML","2019-09-20 14:15","2020-07-28 07:52","448898","4437942","Deep","external sensor ""3"" was in Deep position"
"2019-2020-OE-Std","OE_2020.txt","2019-2020","ML","2019-09-20 14:15","2020-07-28 07:52","448898","4437942","Std","internal sensor ""1"" was in Std position"
"2019-2020-OM","OM_2020.txt","2019-2020","WK","2019-08-21 14:00","2020-05-03 09:00","449321","4434263","Std","altho my notes say OM was blinking upon retrieval on 9/13/20 at 13:15, the readout file stops on 5/3/20 at 9:00; pika YXXX"
"2019-2020-OR","OR_2020.txt","2019-2020","LL","2019-10-15 11:11","2020-08-30 08:25","449880","4435498","Deep","Krear post, deep position"
"2019-2020-OW","OW_330406_2020.csv","2019-2020","WK","2019-08-21 13:47","2020-09-20 13:30","449285","4434164","Std","RH data too; pika UA"
"2019-2020-Q","Q_2020.txt","2019-2020","LL","2019-10-15 13:00","2020-07-24 11:00","449988","4435656","Std",""
"2019-2020-WC","WC_2020.txt","2019-2020","WK","2019-10-02 08:15","2020-07-22 13:59","449018","4434386","Std","pika UAx2"
"2019-2020-WN","WN_2020.txt","2019-2020","LL","2019-10-15 13:00","2020-07-24 13:00","449831","4435598","Std",""
"2019-2020-XA","XA_2020.txt","2019-2020","ML","2019-09-20 12:00","2020-07-26 10:30","449304","4437892","Std",""
"2019-2020-XC","XC_2020.txt","2019-2020","ML","2019-10-19 10:05","2020-08-02 11:27","449417","4437877","Std","COMBINE THESE DATA WITH DATA FROM SENSOR ""Z"" WHICH WAS ACCIDENTALLY PULLED FROM THIS PLACEMENT IN 2019 AFTER JUST A MONTH OF DATA COLLECTION; pika HN/GR"
"2019-2020-XH","XH_2020.txt","2019-2020","WK","2019-10-17 16:35","2020-07-22 14:17","449239","4434200","Std","COMBINE THESE DATA WITH DATA FROM SENSOR ""OT"" WHICH WAS ACCIDENTALLY REPLACED BY XH IN 2019 AFTER JUST UNDER 2 MONTHS OF DATA COLLECTION; pika GGGG nearby"
"2019-2020-Z","Z_2020-firstMonth.txt","2019-2020","ML","2019-09-20 11:10","2019-10-19 10:00","449441","4437844","Std","COMBINE THESE DATA WITH DATA FROM SENSOR ""XC"" WHICH REPLACED Z IN 2019 AFTER JUST A MONTH OF DATA COLLECTION; pika HN/GR"
"PY_10366895_2018-readout2020.csv","PY_10366895_2017-readout2020.csv","2016-2018","WK","2016-11-05 16:00","2018-03-06 22:00","449288","4434189","Std","pika GYRR nearby"
